MemTotal:       792116404 kB
MemFree:        754121464 kB
MemAvailable:   757370776 kB
Buffers:           17956 kB
Cached:          7335104 kB
SwapCached:            0 kB
Active:          3004180 kB
Inactive:        5775380 kB
Active(anon):    2270228 kB
Inactive(anon):        0 kB
Active(file):     733952 kB
Inactive(file):  5775380 kB
Unevictable:    20049592 kB
Mlocked:        20046560 kB
SwapTotal:      15999996 kB
SwapFree:       15999996 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                64 kB
Writeback:             0 kB
AnonPages:      21408136 kB
Mapped:           575852 kB
Shmem:            831756 kB
KReclaimable:     533496 kB
Slab:            2382620 kB
SReclaimable:     533496 kB
SUnreclaim:      1849124 kB
KernelStack:       82784 kB
PageTables:        58848 kB
SecPageTables:     20640 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    412058196 kB
Committed_AS:   30203980 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:      789948 kB
VmallocChunk:          0 kB
Percpu:           787200 kB
HardwareCorrupted:     0 kB
AnonHugePages:  19712000 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     1015344 kB
DirectMap2M:    34205696 kB
DirectMap1G:    771751936 kB
